chembl_id,canonical_smiles,pIC50
CHEMBL3983673,Cl.c1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,3.500038134
CHEMBL3922827,Cl.Oc1ccc(OC[C@@H]2CNCC[C@H]2c2ccc(F)cc2)cc1O,4.199970641
CHEMBL3894846,Cl.O=C1NCc2ccc(OC[C@@H]3CNCC[C@H]3c3ccc(F)cc3)cc21,5.200659451
CHEMBL3884319,CC1(C)C(=O)N([C@H]2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21,5
CHEMBL3727506,O=C(CNc1ccccc1)N/N=C/c1ccncc1,5.744727495
CHEMBL4103971,O=C(CNc1ccccc1Cl)N/N=C/c1ccncc1,5
CHEMBL3728445,O=C(CNc1cccc(Cl)c1)N/N=C/c1ccncc1,6.15490196
CHEMBL3731521,O=C(CNc1ccc(Cl)cc1)N/N=C/c1ccncc1,5.251811973
CHEMBL3730059,COc1ccccc1NCC(=O)N/N=C/c1ccncc1,5
CHEMBL3728772,COc1cccc(NCC(=O)N/N=C/c2ccncc2)c1,7.30980392
CHEMBL4101520,COc1ccc(NCC(=O)N/N=C/c2ccncc2)cc1,5
CHEMBL4100576,O=C(CNc1ccccc1)N/N=C1\CCCc2cnccc21,5.958607315
CHEMBL4082559,COc1cccc(NCC(=O)N/N=C2\CCCc3cnccc32)c1,7.853871964
CHEMBL4063621,CCOc1cccc(NCC(=O)N/N=C2\CCCc3cnccc32)c1,6.920818754
CHEMBL4085247,O=C(CNc1cccc(Oc2ccccc2)c1)N/N=C1\CCCc2cnccc21,7.37675071
CHEMBL4072224,O=C(CNc1cccc(OCc2ccccc2)c1)N/N=C1\CCCc2cnccc21,7.27572413
CHEMBL4092989,O=C(CNc1cccc(C(=O)N2CCOCC2)c1)N/N=C1\CCCc2cnccc21,5
CHEMBL4082713,O=C(CNc1cccc(C(=O)NCc2ccccc2)c1)N/N=C1\CCCc2cnccc21,7.698970004
CHEMBL4100707,Clc1ccc(SCc2nc(-c3ccncc3)n[nH]2)cc1,5.920818754
CHEMBL1563842,Clc1cccc(OCc2n[nH]c(-c3ccncc3)n2)c1,5.356547324
CHEMBL4062560,Clc1ccc(NCc2nc(-c3ccncc3)n[nH]2)cc1,7.387216143
CHEMBL4098243,Clc1ccc(CSc2nc(-c3ccncc3)n[nH]2)cc1,5.244125144
CHEMBL4071201,Clc1ccc(CNc2nc(-c3ccncc3)n[nH]2)cc1,6.008773924
CHEMBL4101676,O=C(Nc1nc(-c2ccncc2)n[nH]1)c1ccc(Cl)cc1,5
CHEMBL4083675,c1ccc(CNCc2nc(-c3ccncc3)n[nH]2)cc1,5
CHEMBL4063622,Clc1ccc(NCCc2nc(-c3ccncc3)n[nH]2)cc1,5
CHEMBL4091451,c1ccc(NCc2nc(-c3ccncc3)n[nH]2)cc1,7
CHEMBL4077117,COc1ccccc1NCc1nc(-c2ccncc2)n[nH]1,5.920818754
CHEMBL4062967,COc1cccc(NCc2nc(-c3ccncc3)n[nH]2)c1,6.795880017
CHEMBL4082714,COc1ccc(NCc2nc(-c3ccncc3)n[nH]2)cc1,6.356547324
CHEMBL4060836,Clc1ccccc1NCc1nc(-c2ccncc2)n[nH]1,6.602059991
CHEMBL4093686,Clc1cccc(NCc2nc(-c3ccncc3)n[nH]2)c1,6.853871964
CHEMBL4072686,NS(=O)(=O)c1cccc(NCc2nc(-c3ccncc3)n[nH]2)c1,7.356547324
CHEMBL4100891,NS(=O)(=O)c1ccc(NCc2nc(-c3ccncc3)n[nH]2)cc1,5.920818754
CHEMBL4074131,c1ccc(Oc2cccc(NCc3nc(-c4ccncc4)n[nH]3)c2)cc1,6.522878745
